quarter,time,score,team,description
2,3:08.0,46-51,Cavaliers,D. Mitchell makes 2-pt jump shot from 9 ft
2,3:08.0,46-51,Cavaliers,Shooting foul by J. Pickett (drawn by D. Mitchell)
2,3:08.0,47-51,Cavaliers,D. Mitchell makes free throw 1 of 1
2,2:53.0,47-51,Nuggets,J. Pickett misses 3-pt jump shot from 26 ft
2,2:49.0,47-51,Nuggets,Offensive rebound by C. Johnson
2,2:35.0,47-53,Nuggets,J. Valančiūnas makes 2-pt hook shot from 4 ft
2,2:24.0,47-53,Cavaliers,Turnover by D. Mitchell (lost ball; steal by J. Murray)
2,2:18.0,47-55,Nuggets,C. Johnson makes 2-pt layup from 3 ft (assist by J. Murray)
2,2:13.0,49-55,Cavaliers,J. Allen makes 2-pt jump shot from 8 ft (assist by D. Mitchell)
2,1:46.0,49-55,Nuggets,J. Pickett misses 2-pt jump shot from 8 ft (block by J. Harden)
2,1:44.0,49-55,Nuggets,Offensive rebound by Team
2,1:44.0,49-55,Nuggets,Turnover by Team (shot clock)
2,1:44.0,49-55,Nuggets,T. Hardaway enters the game for C. Johnson
2,1:44.0,49-55,Nuggets,N. Jokić enters the game for J. Pickett
2,1:44.0,49-55,Nuggets,J. Strawther enters the game for J. Valančiūnas
2,1:37.0,51-55,Cavaliers,J. Harden makes 2-pt jump shot from 12 ft
2,1:26.0,51-55,Nuggets,Turnover by N. Jokić (bad pass; steal by D. Schröder)
2,1:20.0,51-55,Cavaliers,D. Mitchell misses 2-pt jump shot from 8 ft
2,1:17.0,51-55,Nuggets,Defensive rebound by J. Murray
2,1:11.0,51-57,Nuggets,J. Strawther makes 2-pt layup from 4 ft (assist by J. Murray)
2,0:51.0,51-57,Cavaliers,Shooting foul by J. Strawther (drawn by J. Harden)
2,0:51.0,52-57,Cavaliers,J. Harden makes free throw 1 of 3
2,0:51.0,53-57,Cavaliers,J. Harden makes free throw 2 of 3
2,0:51.0,54-57,Cavaliers,J. Harden makes free throw 3 of 3
2,0:32.0,54-59,Nuggets,N. Jokić makes 2-pt jump shot from 7 ft (assist by J. Murray)
2,0:12.0,54-59,Cavaliers,D. Mitchell misses 3-pt jump shot from 26 ft
2,0:09.0,54-59,Cavaliers,Offensive rebound by J. Harden
2,0:03.0,54-59,Cavaliers,J. Harden misses 3-pt jump shot from 25 ft
2,0:00.0,54-59,Nuggets,Defensive rebound by J. Strawther
3,11:51.0,54-59,Cavaliers,S. Merrill misses 3-pt jump shot from 24 ft
3,11:49.0,54-59,Cavaliers,Offensive rebound by J. Tyson
3,11:44.0,54-59,Cavaliers,J. Harden misses 3-pt jump shot from 25 ft
3,11:42.0,54-59,Cavaliers,Offensive rebound by J. Tyson
3,11:39.0,57-59,Cavaliers,D. Mitchell makes 3-pt jump shot from 26 ft (assist by J. Tyson)
3,11:12.0,57-61,Nuggets,N. Jokić makes 2-pt jump shot from 23 ft
3,10:58.0,60-61,Cavaliers,S. Merrill makes 3-pt jump shot from 26 ft (assist by J. Harden)
3,10:48.0,60-61,Nuggets,Turnover by N. Jokić (bad pass)
3,10:41.0,60-61,Cavaliers,D. Mitchell misses 3-pt jump shot from 31 ft
3,10:38.0,60-61,Cavaliers,Offensive rebound by J. Allen
3,10:38.0,60-61,Cavaliers,Personal foul by C. Johnson (drawn by J. Allen)
3,10:29.0,60-61,Cavaliers,J. Tyson misses 3-pt jump shot from 26 ft
3,10:24.0,60-61,Nuggets,Defensive rebound by N. Jokić
3,10:19.0,60-61,Nuggets,Shooting foul by J. Harden (drawn by N. Jokić)
3,10:19.0,60-61,Nuggets,N. Jokić misses free throw 1 of 2
3,10:19.0,60-61,Nuggets,Offensive rebound by Team
3,10:19.0,60-62,Nuggets,N. Jokić makes free throw 2 of 2
3,10:04.0,62-62,Cavaliers,J. Allen makes 2-pt hook shot from 11 ft (assist by J. Harden)
3,9:55.0,62-62,Nuggets,Shooting foul by J. Allen (drawn by N. Jokić)
3,9:55.0,62-63,Nuggets,N. Jokić makes free throw 1 of 2
3,9:55.0,62-64,Nuggets,N. Jokić makes free throw 2 of 2
3,9:43.0,62-64,Cavaliers,D. Mitchell misses 2-pt jump shot from 6 ft
3,9:40.0,62-64,Cavaliers,Offensive rebound by D. Mitchell
3,9:31.0,64-64,Cavaliers,J. Tyson makes 2-pt layup from 3 ft (assist by D. Mitchell)
3,9:21.0,64-66,Nuggets,N. Jokić makes 2-pt layup from 4 ft (assist by C. Braun)
3,9:05.0,64-66,Cavaliers,Personal foul by C. Johnson (drawn by D. Mitchell)
3,8:57.0,64-66,Cavaliers,J. Tyson misses 2-pt jump shot from 11 ft
3,8:55.0,64-66,Nuggets,Defensive rebound by J. Strawther
3,8:51.0,64-68,Nuggets,J. Strawther makes 2-pt layup from 11 ft
3,8:36.0,66-68,Cavaliers,J. Tyson makes 2-pt layup from 3 ft (assist by D. Mitchell)
3,8:22.0,66-71,Nuggets,C. Braun makes 3-pt jump shot from 27 ft (assist by N. Jokić)
3,8:13.0,68-71,Cavaliers,J. Harden makes 2-pt jump shot from 9 ft
3,8:13.0,68-71,Cavaliers,Shooting foul by C. Johnson (drawn by J. Harden)
3,8:13.0,68-71,Nuggets,T. Hardaway enters the game for C. Johnson
3,8:13.0,69-71,Cavaliers,J. Harden makes free throw 1 of 1
3,8:01.0,69-71,Nuggets,Turnover by N. Jokić (bad pass)
3,7:52.0,69-71,Cavaliers,D. Mitchell misses 3-pt jump shot from 27 ft
3,7:48.0,69-71,Nuggets,Defensive rebound by N. Jokić
3,7:45.0,69-71,Nuggets,J. Strawther misses 2-pt layup from 4 ft (block by D. Mitchell)
3,7:43.0,69-71,Cavaliers,Defensive rebound by Team
3,7:34.0,71-71,Cavaliers,J. Allen makes 2-pt jump shot from 9 ft (assist by D. Mitchell)
3,7:15.0,71-71,Nuggets,J. Murray misses 2-pt jump shot from 19 ft
3,7:11.0,71-71,Cavaliers,Defensive rebound by S. Merrill
3,7:03.0,71-71,Cavaliers,Turnover by S. Merrill (bad pass; steal by N. Jokić)
3,7:03.0,71-71,Nuggets,Personal foul by J. Harden (drawn by N. Jokić)
3,7:03.0,71-71,Cavaliers,D. Schröder enters the game for D. Mitchell
3,6:50.0,71-71,Nuggets,J. Murray misses 2-pt layup from 6 ft (block by J. Harden)
3,6:47.0,71-71,Cavaliers,Defensive rebound by J. Harden
3,6:44.0,71-71,Cavaliers,S. Merrill misses 3-pt jump shot from 28 ft
3,6:41.0,71-71,Nuggets,Defensive rebound by T. Hardaway
3,6:35.0,71-73,Nuggets,C. Braun makes 2-pt dunk from 1 ft (assist by J. Murray)
3,6:27.0,71-73,Cavaliers,J. Allen misses 2-pt jump shot from 8 ft
3,6:24.0,71-73,Nuggets,Defensive rebound by N. Jokić
3,6:18.0,71-76,Nuggets,C. Braun makes 3-pt jump shot from 26 ft
3,6:18.0,71-76,Cavaliers,Cleveland full timeout
3,6:18.0,71-76,Nuggets,B. Brown enters the game for J. Strawther
3,5:53.0,73-76,Cavaliers,J. Allen makes 2-pt jump shot from 11 ft (assist by D. Schröder)
3,5:31.0,73-76,Nuggets,Personal foul by J. Tyson (drawn by B. Brown)
3,5:19.0,73-76,Nuggets,C. Braun misses 2-pt jump shot from 21 ft
3,5:16.0,73-76,Cavaliers,Defensive rebound by J. Allen
3,5:09.0,75-76,Cavaliers,J. Harden makes 2-pt layup from 2 ft
3,4:55.0,75-76,Nuggets,T. Hardaway misses 3-pt jump shot from 27 ft
3,4:54.0,75-76,Cavaliers,Defensive rebound by J. Allen
3,4:45.0,75-76,Cavaliers,Turnover by J. Tyson (lost ball; steal by B. Brown)
3,4:32.0,75-76,Nuggets,C. Braun misses 3-pt jump shot from 24 ft
3,4:28.0,75-76,Cavaliers,Defensive rebound by J. Allen
3,4:16.0,75-76,Cavaliers,Shooting foul by J. Murray (drawn by J. Harden)
3,4:16.0,76-76,Cavaliers,J. Harden makes free throw 1 of 2
3,4:16.0,76-76,Cavaliers,T. Bryant enters the game for J. Allen
3,4:16.0,76-76,Cavaliers,D. Mitchell enters the game for S. Merrill
3,4:16.0,76-76,Cavaliers,N. Tomlin enters the game for J. Tyson
3,4:16.0,77-76,Cavaliers,J. Harden makes free throw 2 of 2
3,4:03.0,77-79,Nuggets,J. Murray makes 3-pt jump shot from 26 ft (assist by N. Jokić)
3,3:50.0,77-79,Cavaliers,D. Mitchell misses 3-pt jump shot from 27 ft
3,3:48.0,77-79,Nuggets,Defensive rebound by J. Murray
3,3:48.0,77-79,Cavaliers,C. Porter enters the game for J. Harden
3,3:48.0,77-79,Nuggets,J. Valančiūnas enters the game for N. Jokić
3,3:43.0,77-79,Nuggets,Shooting foul by T. Bryant (drawn by T. Hardaway)
3,3:43.0,77-79,Nuggets,T. Hardaway misses free throw 1 of 2
3,3:43.0,77-79,Nuggets,Offensive rebound by Team
3,3:43.0,77-80,Nuggets,T. Hardaway makes free throw 2 of 2
3,3:21.0,77-80,Cavaliers,Turnover by D. Mitchell (bad pass)
3,3:04.0,77-82,Nuggets,J. Murray makes 2-pt layup from 3 ft
3,2:49.0,77-82,Cavaliers,Shooting foul by B. Brown (drawn by D. Schröder)
3,2:49.0,77-82,Nuggets,Denver full timeout
3,2:49.0,77-82,Cavaliers,D. Schröder misses free throw 1 of 2
3,2:49.0,77-82,Cavaliers,Offensive rebound by Team
