quarter,time,score,team,description
3,4:05.0,89-76,76ers,K. Oubre misses 2-pt jump shot from 9 ft
3,4:04.0,89-76,76ers,Offensive rebound by D. Barlow
3,4:03.0,89-76,76ers,D. Barlow misses 2-pt layup at rim
3,4:02.0,89-76,76ers,Offensive rebound by D. Barlow
3,4:02.0,89-76,76ers,D. Barlow misses 2-pt layup at rim
3,4:01.0,89-76,76ers,Offensive rebound by D. Barlow
3,4:01.0,91-76,76ers,D. Barlow makes 2-pt layup at rim
3,4:01.0,91-76,76ers,Shooting foul by B. Lopez (drawn by D. Barlow)
3,4:01.0,92-76,76ers,D. Barlow makes free throw 1 of 1
3,3:54.0,92-76,Clippers,Personal foul by K. Oubre (drawn by J. Collins)
3,3:54.0,92-76,Clippers,J. Miller enters the game for K. Dunn
3,3:50.0,92-78,Clippers,I. Zubac makes 2-pt layup from 3 ft (assist by K. Sanders)
3,3:34.0,94-78,76ers,T. Maxey makes 2-pt jump shot from 18 ft (assist by J. Embiid)
3,3:25.0,94-78,Clippers,Offensive foul by I. Zubac (drawn by Q. Grimes)
3,3:25.0,94-78,Clippers,Turnover by I. Zubac (offensive foul)
3,3:25.0,94-78,76ers,T. Watford enters the game for K. Oubre
3,3:25.0,94-78,Clippers,N. Batum enters the game for I. Zubac
3,3:12.0,94-78,76ers,T. Maxey misses 3-pt jump shot from 30 ft
3,3:09.0,94-78,Clippers,Defensive rebound by J. Miller
3,3:05.0,94-78,Clippers,J. Miller misses 3-pt jump shot from 27 ft
3,3:00.0,94-78,76ers,Defensive rebound by D. Barlow
3,2:46.0,94-78,76ers,J. Embiid misses 2-pt jump shot from 14 ft
3,2:44.0,94-78,Clippers,Defensive rebound by N. Batum
3,2:31.0,94-78,Clippers,Personal foul by D. Barlow (drawn by J. Collins)
3,2:31.0,94-78,76ers,V. Edgecombe enters the game for T. Maxey
3,2:27.0,94-80,Clippers,J. Collins makes 2-pt jump shot from 9 ft (assist by N. Batum)
3,2:06.0,94-80,76ers,V. Edgecombe misses 2-pt jump shot from 16 ft
3,2:04.0,94-80,Clippers,Defensive rebound by J. Miller
3,1:46.0,94-82,Clippers,J. Miller makes 2-pt layup at rim (assist by K. Sanders)
3,1:46.0,94-82,76ers,Philadelphia full timeout
3,1:46.0,94-82,76ers,J. McCain enters the game for D. Barlow
3,1:30.0,94-82,76ers,J. Embiid misses 2-pt jump shot from 15 ft
3,1:28.0,94-82,Clippers,Defensive rebound by J. Collins
3,1:17.0,94-82,Clippers,Shooting foul by J. Embiid (drawn by J. Collins)
3,1:17.0,94-83,Clippers,J. Collins makes free throw 1 of 2
3,1:17.0,94-83,Clippers,J. Collins misses free throw 2 of 2
3,1:14.0,94-83,76ers,Defensive rebound by J. Embiid
3,1:05.0,97-83,76ers,Q. Grimes makes 3-pt jump shot from 26 ft (assist by J. McCain)
3,0:49.0,97-85,Clippers,J. Miller makes 2-pt layup from 2 ft
3,0:35.0,100-85,76ers,J. McCain makes 3-pt jump shot from 24 ft (assist by Q. Grimes)
3,0:21.0,100-85,Clippers,B. Lopez misses 3-pt jump shot from 27 ft
3,0:18.0,100-85,76ers,Defensive rebound by J. McCain
3,0:03.0,100-85,76ers,Turnover by J. McCain (bad pass; steal by J. Miller)
3,0:00.0,100-87,Clippers,J. Miller makes 2-pt layup from 1 ft
3,0:00.0,100-87,76ers,Team misses heave shot
3,0:00.0,100-87,76ers,Offensive rebound by Team
4,11:43.0,100-87,76ers,D. Barlow misses 2-pt layup from 6 ft (block by B. Lopez)
4,11:39.0,100-87,76ers,Offensive rebound by K. Oubre
4,11:38.0,100-87,76ers,K. Oubre misses 2-pt hook shot from 7 ft
4,11:35.0,100-87,Clippers,Defensive rebound by I. Zubac
4,11:28.0,100-87,Clippers,B. Lopez misses 2-pt jump shot from 6 ft (block by A. Bona)
4,11:24.0,100-87,76ers,Defensive rebound by T. Maxey
4,11:17.0,100-87,76ers,T. Maxey misses 3-pt jump shot from 30 ft
4,11:14.0,100-87,Clippers,Defensive rebound by J. Miller
4,11:06.0,100-87,76ers,Violation by Team (kicked ball)
4,11:06.0,100-87,Clippers,Personal foul by A. Bona (drawn by I. Zubac)
4,10:58.0,100-87,Clippers,Turnover by N. Batum (bad pass; steal by T. Maxey)
4,10:51.0,103-87,76ers,T. Maxey makes 3-pt jump shot from 28 ft (assist by Q. Grimes)
4,10:34.0,103-90,Clippers,B. Lopez makes 3-pt jump shot from 23 ft (assist by I. Zubac)
4,10:10.0,105-90,76ers,K. Oubre makes 2-pt hook shot from 7 ft
4,9:58.0,105-90,76ers,Violation by Team (kicked ball)
