quarter,time,score,team,description
3,9:51.0,71-60,Mavericks,M. Christie makes 2-pt layup from 3 ft
3,9:31.0,71-60,76ers,Turnover by P. George (traveling)
3,9:19.0,71-60,Mavericks,Turnover by R. Nembhard (bad pass)
3,9:05.0,71-60,76ers,T. Maxey misses 3-pt jump shot from 25 ft
3,9:01.0,71-60,Mavericks,Defensive rebound by A. Davis
3,8:47.0,71-60,Mavericks,Turnover by C. Flagg (lost ball; steal by D. Barlow)
3,8:44.0,71-60,76ers,Shooting foul by A. Davis (drawn by D. Barlow)
3,8:44.0,72-60,76ers,D. Barlow makes free throw 1 of 2
3,8:44.0,73-60,76ers,D. Barlow makes free throw 2 of 2
3,8:31.0,73-62,Mavericks,M. Christie makes 2-pt jump shot from 17 ft (assist by C. Flagg)
3,8:17.0,73-62,76ers,Turnover by T. Maxey (lost ball; steal by P. Washington)
3,8:17.0,73-62,Mavericks,K. Thompson enters the game for R. Nembhard
3,8:08.0,73-62,Mavericks,Turnover by M. Christie (lost ball; steal by V. Edgecombe)
3,8:05.0,75-62,76ers,V. Edgecombe makes 2-pt layup from 1 ft
3,7:55.0,75-62,Mavericks,M. Christie misses 3-pt jump shot from 23 ft
3,7:52.0,75-62,76ers,Defensive rebound by T. Maxey
3,7:44.0,75-62,76ers,D. Barlow misses 3-pt jump shot from 23 ft
3,7:41.0,75-62,Mavericks,Defensive rebound by P. Washington
3,7:26.0,75-62,Mavericks,C. Flagg misses 2-pt jump shot from 8 ft
3,7:24.0,75-62,Mavericks,Offensive rebound by A. Davis
3,7:24.0,75-64,Mavericks,A. Davis makes 2-pt layup from 2 ft
3,7:03.0,75-64,76ers,T. Maxey misses 2-pt jump shot from 11 ft
3,7:02.0,75-64,Mavericks,Defensive rebound by C. Flagg
3,6:58.0,75-66,Mavericks,K. Thompson makes 2-pt layup from 1 ft (assist by C. Flagg)
3,6:58.0,75-66,76ers,Violation by Team (def goaltending)
3,6:58.0,75-66,76ers,Philadelphia full timeout
3,6:58.0,75-66,76ers,Q. Grimes enters the game for P. George
3,6:58.0,75-66,Mavericks,N. Marshall enters the game for M. Christie
3,6:47.0,77-66,76ers,V. Edgecombe makes 2-pt layup from 1 ft (assist by T. Maxey)
3,6:31.0,77-66,Mavericks,A. Davis misses 2-pt jump shot from 13 ft
3,6:28.0,77-66,76ers,Defensive rebound by D. Barlow
