quarter,time,score,team,description
3,0:59.0,81-97,76ers,Offensive rebound by A. Bona
3,0:59.0,83-97,76ers,A. Bona makes 2-pt layup from 1 ft
3,0:47.0,83-99,Thunder,C. Wallace makes 2-pt dunk from 1 ft (assist by I. Hartenstein)
3,0:36.0,83-99,76ers,V. Edgecombe misses 3-pt jump shot from 26 ft
3,0:34.0,83-99,Thunder,Defensive rebound by Team
3,0:30.0,83-99,Thunder,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft
3,0:27.0,83-99,76ers,Defensive rebound by J. Edwards
3,0:18.0,83-99,76ers,Turnover by J. Edwards (bad pass; steal by A. Wiggins)
3,0:16.0,83-101,Thunder,A. Wiggins makes 2-pt dunk from 1 ft (assist by A. Mitchell)
3,0:04.0,86-101,76ers,J. McCain makes 3-pt jump shot from 26 ft
3,0:00.0,86-101,Thunder,Shooting foul by J. Edwards (drawn by S. Gilgeous-Alexander)
3,0:00.0,86-101,Thunder,S. Gilgeous-Alexander misses free throw 1 of 3
3,0:00.0,86-101,Thunder,Offensive rebound by Team
3,0:00.0,86-102,Thunder,S. Gilgeous-Alexander makes free throw 2 of 3
3,0:00.0,86-102,Thunder,J. Williams enters the game for I. Hartenstein
3,0:00.0,86-102,Thunder,S. Gilgeous-Alexander misses free throw 3 of 3
3,0:00.0,86-102,Thunder,Offensive rebound by C. Wallace
4,11:39.0,86-102,76ers,J. Edwards misses 2-pt layup from 3 ft (block by C. Holmgren)
4,11:36.0,86-102,76ers,Offensive rebound by A. Drummond
4,11:35.0,86-102,76ers,Turnover by A. Drummond (bad pass; steal by A. Mitchell)
4,11:21.0,86-102,Thunder,Shooting foul by Q. Grimes (drawn by C. Holmgren)
4,11:21.0,86-103,Thunder,C. Holmgren makes free throw 1 of 2
4,11:21.0,86-104,Thunder,C. Holmgren makes free throw 2 of 2
4,11:12.0,86-104,76ers,P. George misses 3-pt jump shot from 25 ft
4,11:09.0,86-104,Thunder,Defensive rebound by A. Wiggins
4,11:02.0,86-104,Thunder,A. Mitchell misses 3-pt jump shot from 24 ft
4,11:00.0,86-104,Thunder,Offensive rebound by C. Holmgren
4,10:57.0,86-106,Thunder,C. Holmgren makes 2-pt layup from 2 ft
4,10:36.0,86-106,76ers,J. Edwards misses 3-pt jump shot from 27 ft
4,10:35.0,86-106,76ers,Offensive rebound by Team
4,10:35.0,86-106,Thunder,Loose ball foul by C. Holmgren (drawn by A. Drummond)
4,10:28.0,86-106,76ers,Personal foul by A. Mitchell (drawn by Q. Grimes)
4,10:18.0,89-106,76ers,Q. Grimes makes 3-pt jump shot from 25 ft (assist by J. Edwards)
4,10:02.0,89-108,Thunder,C. Wallace makes 2-pt layup from 5 ft (assist by J. Williams)
4,9:49.0,89-108,76ers,Q. Grimes misses 2-pt layup from 2 ft (block by C. Holmgren)
4,9:49.0,89-108,Thunder,Defensive rebound by Team
