quarter,time,score,team,description
1,0:25.0,26-28,Bulls,Offensive rebound by J. Smith
1,0:22.0,26-28,Bulls,Personal foul by V. Edgecombe (drawn by J. Smith)
1,0:22.0,26-29,Bulls,J. Smith makes free throw 1 of 2
1,0:22.0,26-29,76ers,P. George enters the game for A. Drummond
1,0:22.0,26-29,Bulls,I. Okoro enters the game for T. Jones
1,0:22.0,26-30,Bulls,J. Smith makes free throw 2 of 2
1,0:02.0,28-30,76ers,Q. Grimes makes 2-pt layup from 1 ft (assist by V. Edgecombe)
1,0:00.0,28-30,Bulls,C. White misses 3-pt jump shot from 34 ft
1,0:00.0,28-30,Bulls,Offensive rebound by Team
2,11:48.0,28-32,Bulls,J. Smith makes 2-pt layup from 2 ft (assist by J. Giddey)
2,11:28.0,28-32,76ers,J. McCain misses 2-pt jump shot from 14 ft
2,11:26.0,28-32,Bulls,Defensive rebound by C. White
2,11:12.0,28-32,Bulls,J. Giddey misses 2-pt jump shot from 7 ft
2,11:11.0,28-32,Bulls,Offensive rebound by N. Vučević
2,11:09.0,28-34,Bulls,N. Vučević makes 2-pt dunk from 1 ft (assist by A. Dosunmu)
2,10:56.0,28-34,76ers,Turnover by D. Barlow (traveling)
2,10:56.0,28-34,Bulls,M. Buzelis enters the game for J. Smith
2,10:41.0,28-36,Bulls,J. Giddey makes 2-pt layup from 1 ft (assist by N. Vučević)
2,10:32.0,30-36,76ers,J. McCain makes 2-pt layup from 1 ft
2,10:19.0,30-38,Bulls,A. Dosunmu makes 2-pt layup from 1 ft (assist by J. Giddey)
2,10:10.0,30-38,76ers,Turnover by V. Edgecombe (out of bounds lost ball)
2,10:10.0,30-38,76ers,J. Edwards enters the game for D. Barlow
2,9:57.0,30-41,Bulls,A. Dosunmu makes 3-pt jump shot from 22 ft (assist by C. White)
2,9:55.0,30-41,76ers,Philadelphia full timeout
2,9:55.0,30-41,76ers,D. Barlow enters the game for Q. Grimes
2,9:44.0,30-41,76ers,J. McCain misses 3-pt jump shot from 26 ft
2,9:40.0,30-41,Bulls,Defensive rebound by J. Giddey
2,9:24.0,30-41,Bulls,J. Giddey misses 3-pt jump shot from 26 ft
2,9:22.0,30-41,76ers,Defensive rebound by J. McCain
2,9:13.0,30-41,76ers,V. Edgecombe misses 2-pt layup from 2 ft (block by M. Buzelis)
2,9:10.0,30-41,Bulls,Defensive rebound by M. Buzelis
2,9:08.0,30-41,Bulls,Turnover by A. Dosunmu (bad pass; steal by J. McCain)
2,9:03.0,30-41,76ers,J. McCain misses 2-pt layup from 3 ft (block by M. Buzelis)
2,9:03.0,30-41,76ers,Offensive rebound by Team
2,9:03.0,30-41,Bulls,K. Huerter enters the game for A. Dosunmu
2,8:54.0,30-41,76ers,V. Edgecombe misses 3-pt jump shot from 25 ft
2,8:51.0,30-41,76ers,Offensive rebound by V. Edgecombe
2,8:48.0,30-41,76ers,J. Edwards misses 3-pt jump shot from 27 ft
2,8:45.0,30-41,Bulls,Defensive rebound by M. Buzelis
2,8:40.0,30-41,Bulls,Turnover by M. Buzelis (out of bounds lost ball)
2,8:24.0,32-41,76ers,J. McCain makes 2-pt layup from 3 ft
2,8:17.0,32-43,Bulls,K. Huerter makes 2-pt layup from 1 ft (assist by C. White)
2,7:57.0,34-43,76ers,J. McCain makes 2-pt layup from 2 ft
2,7:57.0,34-43,Bulls,T. Jones enters the game for C. White
2,7:39.0,34-43,Bulls,Turnover by J. Giddey (bad pass; steal by J. Edwards)
2,7:29.0,34-43,76ers,V. Edgecombe misses 2-pt layup from 2 ft (block by M. Buzelis)
2,7:26.0,34-43,Bulls,Defensive rebound by N. Vučević
2,7:23.0,34-43,Bulls,Personal foul by J. Edwards (drawn by M. Buzelis)
2,7:23.0,34-43,76ers,J. Embiid enters the game for A. Drummond
2,7:23.0,34-43,Bulls,Chicago full timeout
2,7:23.0,34-43,76ers,T. Maxey enters the game for V. Edgecombe
2,7:16.0,34-43,Bulls,T. Jones misses 2-pt jump shot from 11 ft
2,7:12.0,34-43,76ers,Defensive rebound by T. Maxey
2,7:03.0,36-43,76ers,T. Maxey makes 2-pt layup from 1 ft (assist by J. Edwards)
2,6:49.0,36-43,Bulls,J. Giddey misses 2-pt jump shot from 6 ft (block by T. Maxey)
2,6:49.0,36-43,76ers,Defensive rebound by D. Barlow
2,6:44.0,36-43,76ers,Turnover by T. Maxey (out of bounds lost ball)
2,6:44.0,36-43,Bulls,I. Okoro enters the game for M. Buzelis
2,6:35.0,36-43,Bulls,Shooting foul by T. Maxey (drawn by K. Huerter)
2,6:35.0,36-43,Bulls,K. Huerter misses free throw 1 of 2
2,6:35.0,36-43,Bulls,Offensive rebound by Team
2,6:35.0,36-43,Bulls,Z. Collins enters the game for N. Vučević
2,6:35.0,36-43,Bulls,K. Huerter misses free throw 2 of 2
2,6:33.0,36-43,76ers,Defensive rebound by J. Embiid
2,6:16.0,39-43,76ers,J. Embiid makes 3-pt jump shot from 26 ft (assist by T. Maxey)
2,5:55.0,39-43,Bulls,Z. Collins misses 2-pt jump shot from 6 ft
2,5:54.0,39-43,Bulls,Offensive rebound by Team
2,5:54.0,39-43,76ers,P. George enters the game for J. Edwards
2,5:43.0,39-43,Bulls,Z. Collins misses 3-pt jump shot from 24 ft
2,5:40.0,39-43,76ers,Defensive rebound by Team
2,5:40.0,39-43,Bulls,A. Dosunmu enters the game for J. Giddey
2,5:18.0,39-43,76ers,J. Embiid misses 2-pt jump shot from 12 ft
2,5:16.0,39-43,Bulls,Defensive rebound by Z. Collins
2,5:03.0,39-45,Bulls,I. Okoro makes 2-pt layup from 1 ft (assist by A. Dosunmu)
2,4:49.0,39-45,76ers,P. George misses 3-pt jump shot from 23 ft
2,4:47.0,39-45,Bulls,Defensive rebound by Z. Collins
2,4:41.0,39-45,Bulls,K. Huerter misses 3-pt jump shot from 25 ft
2,4:36.0,39-45,Bulls,Offensive rebound by A. Dosunmu
2,4:34.0,39-45,Bulls,K. Huerter misses 3-pt jump shot from 26 ft
2,4:34.0,39-45,76ers,Defensive rebound by P. George
2,4:27.0,39-45,76ers,Shooting foul by I. Okoro (drawn by T. Maxey)
2,4:27.0,39-45,76ers,Philadelphia full timeout
2,4:27.0,39-45,76ers,Instant Replay (Challenge: Ruling Stands)
2,4:27.0,39-45,Bulls,C. White enters the game for T. Jones
2,4:27.0,40-45,76ers,T. Maxey makes free throw 1 of 2
2,4:27.0,41-45,76ers,T. Maxey makes free throw 2 of 2
2,4:01.0,41-45,Bulls,Turnover by Team (shot clock)
2,3:43.0,43-45,76ers,J. Embiid makes 2-pt layup from 1 ft
2,3:34.0,43-45,Bulls,Z. Collins misses 2-pt hook shot from 6 ft
2,3:32.0,43-45,76ers,Defensive rebound by P. George
2,3:23.0,43-45,76ers,Shooting foul by K. Huerter (drawn by J. Embiid)
2,3:23.0,44-45,76ers,J. Embiid makes free throw 1 of 2
2,3:23.0,44-45,Bulls,M. Buzelis enters the game for Z. Collins
2,3:23.0,44-45,Bulls,J. Giddey enters the game for A. Dosunmu
2,3:23.0,44-45,Bulls,T. Jones enters the game for K. Huerter
2,3:23.0,44-45,Bulls,N. Vučević enters the game for I. Okoro
2,3:23.0,45-45,76ers,J. Embiid makes free throw 2 of 2
2,2:58.0,45-45,Bulls,M. Buzelis misses 3-pt jump shot from 25 ft
2,2:56.0,45-45,Bulls,Offensive rebound by T. Jones
2,2:51.0,45-45,Bulls,J. Giddey misses 3-pt jump shot from 23 ft
2,2:49.0,45-45,76ers,Defensive rebound by T. Maxey
2,2:41.0,48-45,76ers,T. Maxey makes 3-pt jump shot from 27 ft (assist by D. Barlow)
2,2:21.0,48-45,Bulls,Shooting foul by J. McCain (drawn by J. Giddey)
2,2:21.0,48-46,Bulls,J. Giddey makes free throw 1 of 2
2,2:21.0,48-47,Bulls,J. Giddey makes free throw 2 of 2
2,2:08.0,50-47,76ers,T. Maxey makes 2-pt jump shot from 10 ft
2,1:59.0,50-47,Bulls,M. Buzelis misses 3-pt jump shot from 25 ft
2,1:59.0,50-47,Bulls,Offensive rebound by Team
2,1:56.0,50-49,Bulls,C. White makes 2-pt layup from 2 ft (assist by J. Giddey)
2,1:36.0,50-49,76ers,J. Embiid misses 2-pt jump shot from 18 ft
2,1:36.0,50-49,Bulls,Defensive rebound by M. Buzelis
2,1:19.0,50-49,Bulls,T. Jones misses 3-pt jump shot from 22 ft
2,1:16.0,50-49,76ers,Defensive rebound by J. McCain
2,1:04.0,50-49,76ers,J. McCain misses 2-pt layup from 3 ft
2,1:01.0,50-49,76ers,Offensive rebound by P. George
2,1:00.0,50-49,76ers,D. Barlow misses 2-pt layup from 4 ft
2,0:58.0,50-49,Bulls,Defensive rebound by N. Vučević
2,0:55.0,50-49,Bulls,J. Giddey misses 3-pt jump shot from 26 ft
2,0:53.0,50-49,Bulls,Offensive rebound by M. Buzelis
2,0:53.0,50-49,Bulls,M. Buzelis misses 2-pt dunk at rim
2,0:53.0,50-49,76ers,Defensive rebound by Team
2,0:53.0,50-49,76ers,V. Edgecombe enters the game for J. McCain
2,0:33.0,50-49,76ers,T. Maxey misses 2-pt jump shot from 8 ft
2,0:32.0,50-49,76ers,Offensive rebound by D. Barlow
2,0:32.0,52-49,76ers,D. Barlow makes 2-pt layup at rim
2,0:21.0,52-49,Bulls,M. Buzelis misses 3-pt jump shot from 26 ft
2,0:19.0,52-49,76ers,Defensive rebound by T. Maxey
2,0:05.0,52-49,76ers,Personal take foul by T. Jones (drawn by T. Maxey)
2,0:00.0,52-49,76ers,J. Embiid misses 2-pt jump shot from 11 ft
2,0:00.0,52-49,Bulls,Defensive rebound by J. Giddey
3,11:37.0,52-52,Bulls,M. Buzelis makes 3-pt jump shot from 23 ft (assist by C. White)
3,11:21.0,55-52,76ers,J. Embiid makes 3-pt jump shot from 26 ft (assist by P. George)
3,11:11.0,55-52,Bulls,Personal foul by P. George (drawn by M. Buzelis)
3,10:56.0,55-52,Bulls,I. Okoro misses 2-pt layup from 1 ft
3,10:53.0,55-52,Bulls,Offensive rebound by N. Vučević
3,10:53.0,55-52,Bulls,N. Vučević misses 2-pt layup at rim
3,10:53.0,55-52,76ers,Defensive rebound by V. Edgecombe
3,10:48.0,57-52,76ers,V. Edgecombe makes 2-pt layup from 1 ft (assist by T. Maxey)
3,10:28.0,57-52,Bulls,J. Giddey misses 2-pt jump shot from 5 ft
3,10:26.0,57-52,76ers,Defensive rebound by P. George
3,10:24.0,60-52,76ers,T. Maxey makes 3-pt jump shot from 28 ft (assist by P. George)
3,10:23.0,60-52,Bulls,Chicago full timeout
3,9:57.0,60-55,Bulls,I. Okoro makes 3-pt jump shot from 26 ft (assist by C. White)
3,9:44.0,60-55,76ers,P. George misses 3-pt jump shot from 27 ft
3,9:41.0,60-55,Bulls,Defensive rebound by M. Buzelis
3,9:26.0,60-55,Bulls,J. Giddey misses 3-pt jump shot from 26 ft
3,9:24.0,60-55,76ers,Defensive rebound by V. Edgecombe
3,9:10.0,60-55,76ers,T. Maxey misses 3-pt jump shot from 27 ft
3,9:07.0,60-55,Bulls,Defensive rebound by I. Okoro
3,9:04.0,60-57,Bulls,N. Vučević makes 2-pt layup from 1 ft (assist by I. Okoro)
3,8:43.0,62-57,76ers,V. Edgecombe makes 2-pt layup from 2 ft
3,8:36.0,62-57,Bulls,C. White misses 2-pt jump shot from 18 ft
3,8:34.0,62-57,76ers,Defensive rebound by J. Embiid
3,8:25.0,62-57,76ers,V. Edgecombe misses 3-pt jump shot from 24 ft
3,8:23.0,62-57,Bulls,Defensive rebound by M. Buzelis
3,8:09.0,62-57,Bulls,M. Buzelis misses 3-pt jump shot from 25 ft
3,8:08.0,62-57,76ers,Defensive rebound by Team
3,8:08.0,62-57,76ers,Q. Grimes enters the game for D. Barlow
3,8:08.0,62-57,Bulls,J. Smith enters the game for M. Buzelis
3,7:53.0,62-57,76ers,Shooting foul by N. Vučević (drawn by J. Embiid)
3,7:53.0,63-57,76ers,J. Embiid makes free throw 1 of 2
3,7:53.0,64-57,76ers,J. Embiid makes free throw 2 of 2
3,7:40.0,64-57,Bulls,Turnover by C. White (discontinued dribble)
3,7:28.0,64-57,76ers,P. George misses 3-pt jump shot from 24 ft
3,7:25.0,64-57,76ers,Offensive rebound by V. Edgecombe
3,7:23.0,67-57,76ers,P. George makes 3-pt jump shot from 24 ft (assist by V. Edgecombe)
3,7:06.0,67-57,Bulls,Shooting foul by Q. Grimes (drawn by C. White)
3,7:06.0,67-58,Bulls,C. White makes free throw 1 of 2
3,7:06.0,67-58,Bulls,Z. Collins enters the game for N. Vučević
3,7:06.0,67-59,Bulls,C. White makes free throw 2 of 2
3,6:48.0,67-59,76ers,J. Embiid misses 2-pt jump shot from 5 ft (block by Z. Collins)
3,6:46.0,67-59,Bulls,Defensive rebound by C. White
3,6:46.0,67-59,Bulls,K. Huerter enters the game for C. White
3,6:35.0,67-62,Bulls,K. Huerter makes 3-pt jump shot from 25 ft (assist by I. Okoro)
3,6:20.0,67-62,76ers,P. George misses 2-pt layup from 4 ft
3,6:18.0,67-62,Bulls,Defensive rebound by J. Smith
3,6:13.0,67-65,Bulls,I. Okoro makes 3-pt jump shot from 24 ft (assist by J. Giddey)
3,5:57.0,67-65,76ers,Shooting foul by Z. Collins (drawn by J. Embiid)
3,5:57.0,68-65,76ers,J. Embiid makes free throw 1 of 2
3,5:57.0,68-65,76ers,J. Walker enters the game for P. George
3,5:57.0,68-65,Bulls,A. Dosunmu enters the game for J. Giddey
3,5:57.0,68-65,Bulls,T. Jones enters the game for I. Okoro
3,5:57.0,69-65,76ers,J. Embiid makes free throw 2 of 2
3,5:33.0,69-68,Bulls,J. Smith makes 3-pt jump shot from 25 ft (assist by A. Dosunmu)
3,5:19.0,71-68,76ers,J. Embiid makes 2-pt jump shot from 22 ft (assist by T. Maxey)
3,5:07.0,71-68,Bulls,Turnover by K. Huerter (bad pass)
3,4:55.0,73-68,76ers,J. Embiid makes 2-pt jump shot from 10 ft (assist by T. Maxey)
3,4:39.0,73-70,Bulls,K. Huerter makes 2-pt jump shot from 9 ft (assist by J. Smith)
3,4:29.0,73-70,76ers,Philadelphia full timeout
3,4:29.0,73-70,76ers,J. McCain enters the game for V. Edgecombe
3,4:17.0,73-70,76ers,Q. Grimes misses 3-pt jump shot from 25 ft
3,4:15.0,73-70,Bulls,Defensive rebound by Team
3,4:15.0,73-70,76ers,Loose ball foul by J. Embiid (drawn by Z. Collins)
3,4:00.0,73-72,Bulls,T. Jones makes 2-pt layup from 2 ft (assist by J. Smith)
3,3:39.0,76-72,76ers,T. Maxey makes 3-pt jump shot from 28 ft (assist by Q. Grimes)
3,3:24.0,76-72,Bulls,Shooting foul by J. Embiid (drawn by Z. Collins)
3,3:24.0,76-73,Bulls,Z. Collins makes free throw 1 of 2
3,3:24.0,76-74,Bulls,Z. Collins makes free throw 2 of 2
3,3:00.0,76-74,76ers,J. Embiid misses 2-pt jump shot from 17 ft
3,2:55.0,76-74,Bulls,Defensive rebound by T. Jones
3,2:42.0,76-74,Bulls,A. Dosunmu misses 2-pt layup from 6 ft (block by J. Walker)
3,2:38.0,76-74,76ers,Defensive rebound by J. Walker
3,2:23.0,76-74,76ers,Turnover by J. Walker (out of bounds lost ball)
3,2:11.0,76-74,Bulls,Personal foul by J. McCain (drawn by T. Jones)
3,2:11.0,76-75,Bulls,T. Jones makes free throw 1 of 2
3,2:11.0,76-75,76ers,A. Bona enters the game for J. Embiid
3,2:11.0,76-75,76ers,P. George enters the game for J. Walker
3,2:11.0,76-75,Bulls,T. Jones misses free throw 2 of 2
3,2:09.0,76-75,76ers,Defensive rebound by P. George
3,1:56.0,76-75,76ers,P. George misses 2-pt jump shot from 20 ft
3,1:54.0,76-75,Bulls,Defensive rebound by A. Dosunmu
3,1:49.0,76-77,Bulls,T. Jones makes 2-pt layup from 1 ft (assist by A. Dosunmu)
3,1:29.0,76-77,76ers,A. Bona misses 3-pt jump shot from 23 ft
3,1:26.0,76-77,Bulls,Defensive rebound by T. Jones
3,1:23.0,76-77,Bulls,J. Smith misses 3-pt jump shot from 28 ft
3,1:22.0,76-77,76ers,Defensive rebound by Team
3,1:22.0,76-77,Bulls,Loose ball foul by K. Huerter (drawn by T. Maxey)
3,1:01.0,79-77,76ers,P. George makes 3-pt jump shot from 26 ft (assist by Q. Grimes)
