quarter,time,score,team,description
2,2:21.0,46-52,Rockets,T. Eason misses 2-pt jump shot from 12 ft
2,2:20.0,46-52,Rockets,Offensive rebound by T. Eason
2,2:20.0,46-52,Rockets,T. Eason misses 2-pt layup at rim
2,2:19.0,46-52,Rockets,Offensive rebound by J. Smith
2,1:59.0,46-52,Rockets,T. Eason misses 2-pt jump shot from 14 ft
2,1:58.0,46-52,Rockets,Offensive rebound by A. Şengün
2,1:56.0,46-52,Rockets,A. Şengün misses 2-pt layup at rim
2,1:54.0,46-52,Rockets,Offensive rebound by A. Thompson
2,1:53.0,46-54,Rockets,A. Thompson makes 2-pt layup from 3 ft
2,1:40.0,48-54,Mavericks,D. Gafford makes 2-pt dunk from 3 ft (assist by N. Marshall)
2,1:20.0,48-54,Rockets,A. Şengün misses 2-pt jump shot from 9 ft
2,1:19.0,48-54,Mavericks,Defensive rebound by Team
2,1:19.0,48-54,Rockets,Loose ball foul by A. Şengün (drawn by D. Gafford)
2,1:19.0,48-54,Rockets,K. Durant enters the game for T. Eason
2,1:03.0,48-54,Mavericks,Shooting foul by J. Smith (drawn by N. Marshall)
2,1:03.0,48-54,Mavericks,N. Marshall misses free throw 1 of 2
2,1:03.0,48-54,Mavericks,Offensive rebound by Team
2,1:03.0,49-54,Mavericks,N. Marshall makes free throw 2 of 2
2,0:51.0,49-54,Rockets,A. Thompson misses 2-pt layup from 4 ft
2,0:51.0,49-54,Mavericks,Defensive rebound by D. Gafford
2,0:45.0,49-54,Mavericks,M. Christie misses 2-pt layup from 6 ft (block by J. Okogie)
2,0:45.0,49-54,Mavericks,Offensive rebound by Team
2,0:38.0,51-54,Mavericks,N. Marshall makes 2-pt layup from 5 ft
2,0:33.0,51-56,Rockets,J. Smith makes 2-pt dunk from 3 ft (assist by A. Thompson)
2,0:19.0,51-56,Mavericks,C. Flagg misses 2-pt layup from 3 ft
2,0:18.0,51-56,Rockets,Defensive rebound by A. Şengün
2,0:06.0,51-59,Rockets,K. Durant makes 3-pt jump shot from 23 ft (assist by A. Şengün)
2,0:01.0,51-59,Mavericks,N. Marshall misses 2-pt jump shot from 10 ft
2,0:01.0,51-59,Mavericks,Offensive rebound by D. Gafford
2,0:01.0,51-59,Mavericks,D. Gafford misses 2-pt layup from 1 ft
2,0:01.0,51-59,Mavericks,Offensive rebound by Team
3,11:49.0,51-59,Mavericks,P. Washington misses 2-pt layup from 5 ft (block by J. Smith)
3,11:49.0,51-59,Mavericks,Offensive rebound by Team
3,11:42.0,51-59,Mavericks,Turnover by M. Christie (out of bounds lost ball)
3,11:32.0,51-61,Rockets,A. Şengün makes 2-pt dunk from 3 ft (assist by J. Smith)
3,11:14.0,51-61,Mavericks,C. Flagg misses 2-pt layup from 6 ft
3,11:13.0,51-61,Mavericks,Offensive rebound by C. Flagg
3,11:13.0,53-61,Mavericks,C. Flagg makes 2-pt layup at rim
3,10:50.0,53-63,Rockets,K. Durant makes 2-pt jump shot from 15 ft
3,10:37.0,53-63,Mavericks,N. Marshall misses 3-pt jump shot from 27 ft
3,10:36.0,53-63,Rockets,Defensive rebound by A. Thompson
3,10:28.0,53-63,Rockets,T. Eason misses 3-pt jump shot from 25 ft
3,10:26.0,53-63,Mavericks,Defensive rebound by M. Christie
3,10:12.0,55-63,Mavericks,P. Washington makes 2-pt jump shot from 5 ft
3,10:12.0,55-63,Mavericks,Shooting foul by A. Şengün (drawn by P. Washington)
3,10:12.0,56-63,Mavericks,P. Washington makes free throw 1 of 1
3,9:59.0,56-63,Rockets,K. Durant misses 2-pt jump shot from 10 ft
3,9:59.0,56-63,Mavericks,Defensive rebound by N. Marshall
3,9:49.0,56-63,Mavericks,M. Christie misses 3-pt jump shot from 23 ft
3,9:48.0,56-63,Rockets,Defensive rebound by A. Şengün
3,9:37.0,56-65,Rockets,A. Şengün makes 2-pt layup from 3 ft (assist by A. Thompson)
3,9:21.0,56-65,Mavericks,Shooting foul by T. Eason (drawn by C. Flagg)
3,9:21.0,56-65,Rockets,Houston full timeout
3,9:21.0,56-65,Rockets,Instant Replay (Challenge: Stands)
3,9:21.0,56-65,Mavericks,C. Flagg misses free throw 1 of 2
3,9:21.0,56-65,Mavericks,Offensive rebound by Team
